Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Genres
16082127,Il galeone dei gatti pirati,Geronimo Stilton,"Stilton, Geronimo",Elisabetta Dami,"=""8838455252""","=""9788838455254""",5.0,Piemme Junior,Paperback,119.0,2000.0,2013.0,2022/12/22,2022/10/24,,,read,,,,1,0,Unknown
55400711,The Little Wooden Robot and the Log Princess,Tom Gauld,"Gauld, Tom",,"=""0823446980""","=""9780823446988""",5.0,Neal Porter Books,Hardcover,40.0,2021.0,2021.0,2022/12/26,2022/12/26,,,read,,,,1,0,Unknown
51550543,Harry Potter e la pietra filosofale,J.K. Rowling,"Rowling, J.K.",Marina Astrologo,"=""8831003380""","=""9788831003384""",5.0,Salani,Hardcover,310.0,2020.0,1997.0,2022/07/12,2022/12/21,,,read,,,,3,0,Unknown
48946968,Il grande libro delle favole,Luis Sepúlveda,"Sepúlveda, Luis",,"=""8823525063""","=""9788823525061""",4.0,Guanda,Hardcover,517.0,2019.0,,2023/01/18,2023/03/18,,,read,,,,1,0,Unknown
53079391,Harry Potter e la camera dei segreti,J.K. Rowling,"Rowling, J.K.",Marina Astrologo,"=""8831003399""","=""9788831003391""",5.0,Salani,Hardcover,332.0,2020.0,1998.0,2022/12/10,2022/12/12,,,read,,,,3,0,Unknown
9693061,Gli animali fantastici: dove trovarli,Newt Scamander,"Scamander, Newt","Beatrice Masini, J.K. Rowling","=""8862562691""","=""9788862562690""",5.0,Salani,Hardcover,60.0,2010.0,2001.0,2022/09/24,2022/09/22,,,read,,,,3,0,Unknown
8933944,"Harry Potter: The Prequel (Harry Potter, #0.5)",J.K. Rowling,"Rowling, J.K.",,"=""1156923441""","=""9781156923443""",5.0,Books LLC,ebook,3.0,2008.0,2008.0,2023/04/06,2023/05/05,,,read,,,,1,0,Unknown
31187505,Harry Potter e la maledizione dell'erede,John Tiffany,"Tiffany, John","Jack Thorne, J.K. Rowling, Luigi Spagnol","=""1781105456""","=""9781781105450""",5.0,Salani Editore,Kindle Edition,368.0,2016.0,2016.0,2023/04/17,2023/05/05,,,read,,,,1,0,Unknown
51168786,Un viaggio attraverso Pozioni ed Erbologia,Pottermore Publishing,"Publishing, Pottermore",Rohan Daniel Eason,"=""""","=""""",5.0,Pottermore Publishing,Kindle Edition,76.0,2019.0,2019.0,2023/04/29,2023/05/05,,,read,,,,1,0,Unknown
31569345,"Racconti di Hogwarts: potere, politica e poltergeist",J.K. Rowling,"Rowling, J.K.",,"=""178110641X""","=""9781781106419""",5.0,Pottermore ,Kindle Edition,62.0,2016.0,2016.0,2023/05/02,2023/05/05,,,read,,,,1,0,Unknown
51046199,Un viaggio attraverso Incantesimi e Difesa contro le arti oscure,Pottermore Publishing,"Publishing, Pottermore",Rohan Daniel Eason,"=""""","=""""",5.0,Pottermore Publishing,Kindle Edition,64.0,2019.0,2019.0,2023/05/04,2023/05/05,,,read,,,,1,0,Unknown
9737972,Lacrime di cristallo (Ragazze dell'Olimpo #1),Elena Kedros,"Kedros, Elena",,"=""8804575190""","=""9788804575191""",5.0,Mondadori,Hardcover,241.0,2008.0,2008.0,2023/05/11,2023/05/15,,,read,,,,1,0,Unknown
11390722,"Il potere dei sogni (Ragazze dell'Olimpo, #2)",Elena Kedros,"Kedros, Elena",,"=""8804584165""","=""9788804584162""",5.0,Mondadori,Paperback,244.0,2008.0,2008.0,2023/05/14,2023/05/20,,,read,,,,1,0,Unknown
19508623,Prigioniero dell'Ade (Ragazze dell'Olimpo #3),Elena Kedros,"Kedros, Elena",,"=""8852022864""","=""9788852022869""",5.0,Mondadori,Kindle Edition,176.0,2012.0,2009.0,2023/05/15,2023/05/20,,,read,,,,1,0,Unknown
19508606,La fiamma degli Dei (Ragazze dell'Olimpo #4),Elena Kedros,"Kedros, Elena",,"=""""","=""""",5.0,Mondadori,Kindle Edition,234.0,2012.0,2009.0,2023/05/17,2023/05/20,,,read,,,,1,0,Unknown
19508603,"Il sorriso del traditore (Ragazze dell'Olimpo, #5)",Elena Kedros,"Kedros, Elena",,"=""8852022872""","=""9788852022876""",5.0,Mondadori,Kindle Edition,230.0,2012.0,2010.0,2023/05/25,2023/06/30,,,read,,,,1,0,Unknown
43600213,L'ultimo desiderio (Ragazze dell'Olimpo #6),Elena Kedros,"Kedros, Elena",,"=""8804616318""","=""9788804616313""",5.0,Mondadori,Paperback,285.0,2012.0,2010.0,2023/05/30,2023/06/30,,,read,,,,1,0,Unknown
52766656,Una magica notte sulla neve,Thea Stilton,"Stilton, Thea",Tea Stilton,"=""8856646013""","=""9788856646016""",5.0,Piemme,Paperback,0.0,2015.0,2015.0,2022/08/13,2022/09/25,,,read,,,,2,0,Unknown
50545873,La carica dei 101. Sogni d'oro,Walt Disney Company,"Company, Walt Disney",,"=""8852223711""","=""9788852223716""",5.0,Disney Libri,Board book,48.0,2015.0,,2020/01/19,2020/01/19,,,read,,,,3,0,Unknown
